filename,gender,length,label,imgname
common_voice_bn_31598722.mp3,male,8.568163265,1,common_voice_bn_31598722.png
common_voice_bn_31573200.mp3,male,5.76,1,common_voice_bn_31573200.png
common_voice_bn_31314511.mp3,male,3.088253968,1,common_voice_bn_31314511.png
common_voice_bn_31643996.mp3,male,4.743900227,1,common_voice_bn_31643996.png
common_voice_bn_31618449.mp3,male,7.95600907,1,common_voice_bn_31618449.png
common_voice_bn_31636459.mp3,male,8.85600907,1,common_voice_bn_31636459.png
common_voice_bn_31693847.mp3,male,5.79600907,1,common_voice_bn_31693847.png
common_voice_bn_31827806.mp3,male,4.458231293,1,common_voice_bn_31827806.png
common_voice_bn_31585790.mp3,male,8.1,1,common_voice_bn_31585790.png
common_voice_bn_31695893.mp3,male,5.758548753,1,common_voice_bn_31695893.png
common_voice_bn_31639294.mp3,male,4.14,1,common_voice_bn_31639294.png
common_voice_bn_31699741.mp3,male,6.924807256,1,common_voice_bn_31699741.png
common_voice_bn_31580531.mp3,male,3.877732426,1,common_voice_bn_31580531.png
common_voice_bn_31621324.mp3,male,2.55600907,1,common_voice_bn_31621324.png
common_voice_bn_31231336.mp3,male,5.016780045,1,common_voice_bn_31231336.png
common_voice_bn_31802849.mp3,male,5.25600907,1,common_voice_bn_31802849.png
common_voice_bn_31595695.mp3,male,5.061950113,1,common_voice_bn_31595695.png
common_voice_bn_31540619.mp3,male,4.504671202,1,common_voice_bn_31540619.png
common_voice_bn_31809341.mp3,male,4.068027211,1,common_voice_bn_31809341.png
common_voice_bn_31527750.mp3,male,3.99600907,1,common_voice_bn_31527750.png
common_voice_bn_31752170.mp3,male,4.992290249,1,common_voice_bn_31752170.png
common_voice_bn_31827357.mp3,male,5.967528345,1,common_voice_bn_31827357.png
common_voice_bn_31736988.mp3,male,7.755464853,1,common_voice_bn_31736988.png
common_voice_bn_31609487.mp3,male,5.688027211,1,common_voice_bn_31609487.png
common_voice_bn_31710807.mp3,male,4.156371882,1,common_voice_bn_31710807.png
common_voice_bn_31562112.mp3,male,3.168027211,1,common_voice_bn_31562112.png
common_voice_bn_31301240.mp3,male,9.03600907,1,common_voice_bn_31301240.png
common_voice_bn_31663657.mp3,male,5.688888889,1,common_voice_bn_31663657.png
common_voice_bn_31608105.mp3,male,4.89600907,1,common_voice_bn_31608105.png
common_voice_bn_31735522.mp3,male,5.22,1,common_voice_bn_31735522.png
common_voice_bn_31595249.mp3,male,3.715192744,1,common_voice_bn_31595249.png
common_voice_bn_31694544.mp3,male,5.549569161,1,common_voice_bn_31694544.png
common_voice_bn_31682489.mp3,male,3.227573696,1,common_voice_bn_31682489.png
common_voice_bn_31543367.mp3,male,6.727709751,1,common_voice_bn_31543367.png
common_voice_bn_31767414.mp3,male,5.108390023,1,common_voice_bn_31767414.png
common_voice_bn_31645825.mp3,male,4.64399093,1,common_voice_bn_31645825.png
common_voice_bn_31587118.mp3,male,5.410249433,1,common_voice_bn_31587118.png
common_voice_bn_31571129.mp3,male,7.174965986,1,common_voice_bn_31571129.png
common_voice_bn_31758344.mp3,male,3.96,1,common_voice_bn_31758344.png
common_voice_bn_31523481.mp3,male,2.461315193,1,common_voice_bn_31523481.png
common_voice_bn_31662963.mp3,male,3.436553288,1,common_voice_bn_31662963.png
common_voice_bn_31696816.mp3,male,8.89324263,1,common_voice_bn_31696816.png
common_voice_bn_31696524.mp3,male,4.852970522,1,common_voice_bn_31696524.png
common_voice_bn_31690993.mp3,male,3.529433107,1,common_voice_bn_31690993.png
common_voice_bn_31604688.mp3,male,2.809614512,1,common_voice_bn_31604688.png
common_voice_bn_31713275.mp3,male,4.608027211,1,common_voice_bn_31713275.png
common_voice_bn_31827737.mp3,male,3.041814059,1,common_voice_bn_31827737.png
common_voice_bn_31636008.mp3,male,10.47600907,1,common_voice_bn_31636008.png
common_voice_bn_31720703.mp3,male,4.992290249,1,common_voice_bn_31720703.png
common_voice_bn_31700223.mp3,male,5.707800454,1,common_voice_bn_31700223.png
common_voice_bn_31598195.mp3,male,6.826666667,1,common_voice_bn_31598195.png
common_voice_bn_31590484.mp3,male,6.037188209,1,common_voice_bn_31590484.png
common_voice_bn_31317667.mp3,male,3.99600907,1,common_voice_bn_31317667.png
common_voice_bn_31217235.mp3,male,3.528027211,1,common_voice_bn_31217235.png
common_voice_bn_31553670.mp3,male,3.134693878,1,common_voice_bn_31553670.png
common_voice_bn_31658693.mp3,male,5.43600907,1,common_voice_bn_31658693.png
common_voice_bn_31754981.mp3,male,6.083628118,1,common_voice_bn_31754981.png
common_voice_bn_31652397.mp3,male,6.733786848,1,common_voice_bn_31652397.png
common_voice_bn_31714614.mp3,male,4.59755102,1,common_voice_bn_31714614.png
common_voice_bn_31587973.mp3,male,4.063492063,1,common_voice_bn_31587973.png
common_voice_bn_31590652.mp3,male,5.990748299,1,common_voice_bn_31590652.png
common_voice_bn_31669840.mp3,male,3.622312925,1,common_voice_bn_31669840.png
common_voice_bn_31662970.mp3,male,4.572018141,1,common_voice_bn_31662970.png
common_voice_bn_31614923.mp3,male,6.15600907,1,common_voice_bn_31614923.png
common_voice_bn_31695512.mp3,male,5.224489796,1,common_voice_bn_31695512.png
common_voice_bn_31825371.mp3,male,3.64553288,1,common_voice_bn_31825371.png
common_voice_bn_31614890.mp3,male,3.63600907,1,common_voice_bn_31614890.png
common_voice_bn_31609587.mp3,male,8.341587302,1,common_voice_bn_31609587.png
common_voice_bn_31259887.mp3,male,2.321995465,1,common_voice_bn_31259887.png
common_voice_bn_31521626.mp3,male,7.616145125,1,common_voice_bn_31521626.png
common_voice_bn_31608158.mp3,male,3.204353741,1,common_voice_bn_31608158.png
common_voice_bn_31688955.mp3,male,6.617687075,1,common_voice_bn_31688955.png
